# ref   MM      
  10.548   10.196
  10.429   10.158
  10.056    9.836
   8.576    8.458
   6.283    6.083
   3.303    3.789
   1.704    1.504
   0.531    0.302
   0.153    0.000
   0.000    0.107
   0.279    0.306
   0.925    0.835
   2.084    2.128
   3.944    4.346
   7.030    6.874
   9.346    9.367
  10.234   10.695
  10.507   11.076
  10.683   11.024
  10.511   10.771
  10.199   10.166
   9.265    8.760
   7.022    6.584
   3.913    4.335
   2.066    2.075
   0.880    0.633
   0.272    0.176
   0.065    0.140
   0.149    0.168
   0.567    0.463
   1.689    1.586
   3.296    3.786
   6.170    6.182
   8.690    8.471
  10.072    9.913
  10.457   10.263
   1.925    1.883
   2.042    1.978
   2.451    2.472
   3.151    3.338
   4.241    4.293
   5.007    4.806
   4.583    4.477
   3.297    3.371
   1.846    1.982
   0.859    0.893
   0.399    0.285
   0.080    0.043
   0.000    0.000
   0.372    0.142
   0.864    0.632
   1.625    1.639
   2.930    3.062
   4.212    4.340
   4.857    4.769
   4.336    4.205
   3.113    3.068
   1.933    1.935
   1.189    1.194
   0.992    1.044
   1.295    1.339
   2.079    2.033
   3.048    2.971
   4.228    4.238
   5.640    5.741
   7.131    6.922
   7.554    7.384
   6.245    6.411
   4.904    4.999
   3.660    3.704
   2.685    2.708
   2.190    2.118
