# ref   MM      
   0.000    0.000
   0.098    0.104
   0.390    0.393
   0.814    0.824
   1.327    1.319
   1.712    1.720
   1.862    1.874
   1.728    1.724
   1.330    1.330
   0.853    0.849
   0.403    0.408
   0.101    0.111
   0.005    0.001
   0.104    0.109
   0.408    0.410
   0.857    0.859
   1.356    1.348
   1.739    1.734
   1.869    1.877
   1.742    1.734
   1.352    1.348
   0.858    0.860
   0.403    0.410
   0.104    0.109
   0.006    0.001
   0.101    0.111
   0.406    0.409
   0.854    0.850
   1.334    1.331
   1.727    1.728
   1.866    1.875
   1.725    1.720
   1.321    1.318
   0.837    0.829
   0.391    0.392
   0.102    0.103
