# ref   MM      
   5.143    4.847
   5.239    4.878
   5.065    4.906
   2.948    2.958
   1.710    1.691
   0.690    0.724
   0.038    0.030
   2.812    2.798
   1.880    1.889
   1.401    1.417
   1.255    1.257
   1.316    1.379
   1.678    1.690
   2.150    2.161
   2.880    2.818
   3.666    3.623
   4.424    4.477
   5.054    5.198
   5.387    5.626
   5.473    5.714
   5.372    5.551
   4.790    5.069
   1.999    1.939
   0.744    0.761
   0.000    0.000
   3.129    3.169
   1.830    1.884
   1.363    1.305
   1.265    1.225
   1.337    1.398
   1.687    1.701
   2.153    2.129
   2.734    2.709
   3.494    3.466
   4.146    4.275
   4.756    4.719
   2.981    2.968
   3.355    3.344
   4.082    4.043
   4.989    4.921
   5.827    5.879
   6.520    6.587
   6.681    6.746
   6.194    6.223
   5.241    5.146
   3.822    3.733
   2.240    2.237
   0.928    1.009
   0.215    0.247
   0.000    0.000
   0.096    0.108
   0.293    0.374
   0.691    0.763
   1.273    1.189
   1.708    1.602
   1.709    1.740
   1.451    1.618
   1.511    1.484
   1.428    1.247
   0.981    1.087
   1.178    1.287
   1.816    1.840
   2.589    2.584
   3.365    3.398
   4.146    4.186
   4.803    4.799
   5.392    5.064
   5.100    5.113
   4.766    5.023
   4.230    4.053
   3.446    3.303
   2.924    2.927
   1.165    1.181
   0.546    0.557
   0.364    0.347
   0.421    0.436
   0.729    0.724
   1.059    1.049
   1.262    1.257
   1.224    1.230
   0.968    0.959
   0.555    0.547
   0.165    0.161
   0.000    0.000
   0.144    0.173
   0.650    0.617
   1.460    1.421
   2.588    2.612
   3.958    4.027
   5.190    5.234
   5.772    5.746
   5.430    5.325
   4.223    4.173
   2.743    2.801
   1.630    1.657
   1.006    0.986
   0.822    0.804
   1.080    1.070
   1.674    1.712
   2.719    2.724
   4.009    3.990
   5.372    5.312
   6.315    6.285
   6.482    6.547
   5.931    5.984
   4.760    4.756
   3.377    3.349
   2.126    2.104
