# ref   MM      
   0.000    0.000
   0.094    0.084
   0.357    0.372
   0.807    0.813
   1.304    1.308
   1.743    1.734
   1.938    1.943
   1.879    1.859
   1.486    1.507
   0.998    1.017
   0.533    0.537
   0.186    0.178
   0.017    0.003
   0.070    0.048
   0.315    0.310
   0.738    0.749
   1.260    1.267
   1.725    1.724
   1.951    1.944
   1.872    1.854
   1.485    1.497
   1.009    1.003
   0.533    0.522
   0.192    0.168
   0.037    0.011
   0.116    0.085
   0.387    0.371
   0.837    0.828
   1.343    1.346
   1.776    1.771
   1.929    1.940
   1.805    1.809
   1.436    1.438
   0.955    0.954
   0.504    0.487
   0.160    0.145
