# ref   MM      
   0.236    0.226
   0.563    0.574
   1.004    1.020
   1.476    1.466
   1.801    1.777
   1.816    1.831
   1.590    1.587
   1.154    1.139
   0.635    0.631
   0.216    0.222
   0.022    0.000
   0.054    0.017
   0.270    0.252
   0.634    0.644
   1.099    1.114
   1.556    1.551
   1.855    1.824
   1.805    1.825
   1.491    1.536
   1.076    1.057
   0.594    0.569
   0.175    0.197
   0.000    0.024
   0.071    0.060
   0.280    0.281
   0.630    0.653
   1.102    1.116
   1.598    1.579
   1.911    1.885
   1.881    1.898
   1.566    1.608
   1.173    1.127
   0.646    0.629
   0.197    0.242
   0.046    0.036
   0.072    0.036
