# ref   MM      
   3.434    3.209
   2.716    2.789
   2.187    2.232
   1.688    1.673
   1.157    1.136
   0.591    0.607
   0.170    0.204
   0.011    0.000
   0.205    0.133
   0.518    0.406
   0.624    0.670
   0.835    0.961
   1.324    1.383
   1.999    1.979
   2.790    2.656
   3.187    3.316
   3.280    3.642
   3.519    3.649
   3.550    3.362
   2.756    2.861
   2.260    2.293
   1.730    1.755
   1.213    1.149
   0.602    0.583
   0.156    0.222
   0.000    0.090
   0.258    0.159
   0.539    0.339
   0.633    0.593
   0.871    0.910
   1.372    1.370
   1.926    1.971
   2.570    2.618
   3.171    3.070
   3.293    3.269
   3.465    3.292
  19.073   16.826
  14.683   15.943
  10.952   11.015
   7.264    7.073
   4.639    4.441
   2.838    2.791
   1.637    1.738
   0.883    0.854
   0.298    0.220
   0.000    0.004
   0.188    0.193
   0.693    0.805
   1.640    1.646
   2.444    2.599
   4.093    3.991
   6.599    6.329
   9.680    9.611
  13.002   14.034
  19.184   17.877
  13.344   14.824
   9.394    9.664
   6.864    6.364
   4.298    4.066
   2.557    2.615
   1.440    1.596
   0.794    0.717
   0.267    0.105
   0.016    0.000
   0.317    0.342
   0.752    0.946
   1.512    1.681
   2.617    2.570
   4.304    4.104
   6.902    6.792
  10.395   10.708
  14.497   15.743
   3.947    3.894
   4.208    4.212
   5.039    5.136
   6.032    5.947
   6.397    6.452
   6.961    6.855
   5.806    5.950
   4.516    4.543
   3.009    2.988
   1.915    1.765
   1.104    1.285
   1.422    1.391
   2.001    1.825
   2.321    2.466
   2.966    3.080
   3.636    3.452
   3.830    3.732
   3.438    3.652
   3.508    3.498
   2.526    2.485
   1.586    1.446
   0.304    0.480
   0.000    0.012
   0.081    0.000
   0.591    0.564
   1.484    1.596
   2.901    2.900
   4.375    4.252
   5.513    5.414
   6.161    6.219
   6.420    6.496
   6.195    6.229
   5.556    5.595
   5.135    4.991
   4.290    4.304
   3.855    3.890
  11.271   10.604
   7.936    7.576
   4.935    4.857
   2.261    2.655
   1.018    1.227
   0.451    0.371
   0.000    0.000
   0.112    0.068
   0.741    0.680
   1.545    1.803
   2.983    3.424
   5.620    5.469
   8.656    7.521
  10.389    9.910
   8.145    8.990
   6.169    6.400
   5.199    4.936
   4.627    4.425
   4.154    4.170
   3.561    3.805
   3.203    3.393
   2.913    2.853
   3.050    2.788
   3.354    3.166
   3.562    3.805
   3.008    3.174
   2.768    2.691
   2.702    2.674
   2.930    2.967
   3.588    3.610
   4.249    4.342
   4.999    4.876
   5.600    5.365
   6.607    6.416
   8.190    8.214
   8.507   10.025
   0.000    0.000
   0.327    0.353
   1.719    1.563
   3.546    3.284
   4.947    5.025
   5.569    5.642
   5.613    5.506
   5.319    5.049
   4.923    4.713
   4.798    4.738
   5.162    5.289
   5.579    5.606
   5.304    5.334
   5.404    5.322
   5.469    5.643
   6.777    6.734
   7.650    7.819
   8.137    8.547
   8.138    8.269
   7.100    6.962
   4.688    4.652
   2.485    2.608
   0.748    0.945
   0.139    0.161
   0.177    0.121
   0.582    0.541
   1.555    1.614
   2.710    2.826
   3.504    3.591
   4.405    4.230
   4.583    4.393
   3.013    3.157
   2.435    2.544
   1.864    1.860
   1.143    0.946
   0.308    0.244
   0.000    0.000
   0.327    0.424
   1.189    1.399
   2.860    3.102
   5.401    5.465
   8.496    8.619
  11.905   12.300
  15.598   16.140
  19.752   19.790
  23.459   23.122
  24.060   23.989
  20.664   21.445
  18.204   18.608
  16.764   16.658
  16.006   15.940
  16.295   16.307
  17.784   17.558
  18.893   18.634
  19.562   19.298
  18.964   19.456
  17.807   18.106
  16.723   16.822
  16.229   16.191
  16.841   16.678
  18.503   18.432
  21.136   21.108
  23.900   23.710
  22.369   21.753
  19.324   18.902
  15.477   15.433
  11.677   11.619
   8.291    7.977
   5.237    4.991
   2.648    2.703
   1.284    1.342
   0.320    0.419
   0.000    0.000
   0.345    0.276
   0.659    0.592
   1.184    1.053
   1.720    1.461
   1.207    1.498
   1.441    1.486
   1.305    1.071
   0.435    0.499
   0.143    0.222
   0.213    0.162
   0.518    0.545
   1.116    1.101
   2.448    2.430
   3.755    3.703
   5.440    5.442
   6.887    7.099
   9.025    9.177
  10.486   10.083
   9.440    9.153
   7.097    7.243
   5.101    5.306
   3.538    3.557
   2.100    2.078
   1.313    1.199
   0.560    0.624
   0.265    0.303
   0.165    0.253
   0.483    0.401
   1.243    0.976
   0.981    1.315
   1.249    1.549
   1.742    1.488
   1.235    1.137
   0.705    0.645
   0.206    0.141
