# ref   MM      
   0.036    0.014
   0.014    0.021
   0.224    0.239
   0.611    0.623
   1.083    1.080
   1.535    1.516
   1.791    1.779
   1.792    1.791
   1.531    1.549
   1.121    1.136
   0.691    0.673
   0.309    0.279
   0.047    0.040
   0.000    0.005
   0.177    0.184
   0.543    0.542
   1.017    0.996
   1.464    1.447
   1.760    1.741
   1.776    1.777
   1.504    1.542
   1.098    1.119
   0.671    0.646
   0.298    0.250
   0.050    0.020
   0.006    0.000
   0.202    0.198
   0.573    0.576
   1.050    1.043
   1.501    1.494
   1.778    1.759
   1.745    1.756
   1.455    1.488
   1.026    1.055
   0.601    0.592
   0.249    0.218
