# ref   MM      
   0.000    0.000
   0.046    0.055
   0.387    0.382
   0.959    0.957
   1.688    1.709
   2.531    2.538
   3.275    3.274
   3.899    3.882
   4.352    4.302
   4.486    4.495
   4.512    4.545
   4.506    4.511
   4.205    4.210
   3.957    3.920
   3.641    3.604
   3.090    3.161
   2.921    2.955
   2.997    2.917
   3.026    2.966
   2.980    3.043
   3.242    3.283
   3.643    3.671
   4.299    4.231
   4.857    4.792
   5.276    5.265
   5.571    5.620
   5.675    5.752
   5.918    5.932
   5.452    5.386
   4.874    4.772
   4.139    4.224
   3.192    3.253
   2.363    2.322
   1.414    1.402
   0.741    0.690
   0.231    0.212
   6.774    6.502
   5.143    5.156
   3.926    4.076
   3.006    3.099
   2.085    2.036
   1.183    1.049
   0.428    0.317
   0.000    0.000
   0.629    0.640
   1.990    1.605
   1.217    1.336
   2.831    2.890
   5.796    6.121
   9.997   10.971
   7.970    6.544
   9.536   10.072
  11.978   13.088
  17.868   19.036
  15.718   15.371
  12.371   11.675
   8.570    8.281
   5.253    5.299
   2.919    2.943
   1.722    1.611
   1.276    1.713
   1.840    1.336
   2.503    2.740
   3.910    4.422
   6.442    6.473
   9.550    8.893
  12.873   11.978
  16.700   16.046
  17.351   19.355
  12.528   12.944
  10.700   10.767
   8.574    8.328
   0.097    0.119
   0.759    0.738
   1.511    1.434
   2.139    2.009
   2.680    2.645
   2.714    2.933
   2.965    2.968
   2.614    2.670
   1.943    1.919
   1.158    1.231
   0.789    0.799
   0.804    0.766
   1.273    1.064
   1.659    1.630
   2.151    2.398
   2.796    2.943
   3.280    3.310
   3.386    3.231
   2.883    2.825
   2.104    1.951
   1.175    1.000
   0.384    0.298
   0.000    0.000
   0.079    0.167
   0.705    0.710
   1.321    1.161
   2.163    2.024
   3.618    3.634
   5.410    5.476
   6.901    6.958
   7.558    7.016
   6.435    6.106
   4.650    4.528
   2.385    2.658
   0.871    0.994
   0.079    0.118
   1.704    1.630
   1.877    1.793
   1.675    1.696
   1.272    1.320
   0.732    0.782
   0.303    0.282
   0.007    0.000
   0.000    0.049
   0.359    0.436
   1.047    1.077
   1.903    1.785
   2.401    2.314
   2.349    2.467
   1.998    2.084
   1.622    1.573
   1.121    1.042
   0.695    0.733
   0.929    1.015
   1.367    1.270
   2.094    2.075
   3.070    3.209
   4.447    4.494
   5.534    5.146
   4.462    4.733
   3.687    3.612
   2.580    2.596
   1.757    1.697
   1.008    0.968
   0.564    0.547
   0.487    0.557
   0.664    0.772
   0.911    0.892
   0.947    0.824
   0.846    0.842
   0.921    1.018
   1.278    1.320
   0.037    0.008
   0.101    0.094
   1.097    1.113
   3.202    3.185
   6.528    6.486
  11.043   11.062
  16.693   16.735
  23.275   22.953
  30.762   28.947
  38.372   33.576
  29.191   27.691
  22.052   22.192
  16.424   16.350
  11.199   11.284
   6.939    6.898
   4.665    4.688
   2.367    2.357
   0.894    0.885
   0.134    0.117
   0.000    0.000
   0.581    0.534
   1.895    1.888
   4.306    4.327
   8.221    8.190
  13.524   13.532
  19.898   19.936
  27.065   26.460
  35.267   32.073
  35.003   31.386
  26.908   25.695
  19.577   19.419
  14.016   14.148
   9.021    9.045
   5.240    5.205
   2.501    2.513
   0.827    0.807
   0.000    0.000
   0.088    0.083
   0.280    0.328
   0.586    0.646
   1.049    0.992
   1.205    1.074
   1.470    1.410
   1.782    1.760
   2.106    2.120
   2.435    2.421
   2.507    2.530
   2.639    2.640
   2.797    2.828
   3.209    3.173
   3.617    3.564
   3.942    3.946
   4.128    4.222
   4.421    4.415
   4.551    4.483
   4.579    4.564
   4.537    4.539
   4.380    4.399
   3.970    4.013
   3.621    3.608
   3.317    3.291
   3.157    3.090
   2.847    2.904
   2.858    2.868
   2.690    2.750
   2.692    2.617
   2.208    2.124
   1.658    1.716
   1.246    1.320
   0.953    0.910
   0.487    0.422
   0.167    0.116
